"UUID","Title","URI","Parent","Weight","Menu name","Expanded","Enabled","Link attribute – title","Link attribute –  id","Link attribute –  name","Link attribute –  relation","Link attribute –  class","Link attribute –  style","Link attribute –  target","Link attribute –  access key","Menu link attribute – id","Menu link attribute – class","Menu link attribute – style","Fontawesome icon"
"main_decouvrir-1","Découvrir","entity:node:page_decouvrir",0,0,"main",1,1,,,,,,,,,,,,
"main_decouvrir-2","Découvrir Drupal","entity:node:page_decouvrir","main_decouvrir-1",0,"main",1,1,,,,,,,,,,,,
"main_decouvrir-3","Références","internal:/decouvrir/references","main_decouvrir-1",1,"main",1,1,,,,,,,,,,,,
"main_decouvrir-5","Télécharger","internal:/decouvrir/telechargements","main_decouvrir-1",3,"main",1,1,,,,,,,,,,,,
"main_assistance-1","Assistance","entity:node:page_faq",0,2,"main",1,1,,,,,,,,,,,,
"main_assistance-2","FAQ","entity:node:page_faq","main_assistance-1",0,"main",1,1,,,,,,,,,,,,
"main_assistance-3","Documentation","entity:node:page_documentation","main_assistance-1",1,"main",1,1,,,,,,,,,,,,
"main_assistance-4","Forum","internal:/assistance/forum","main_assistance-1",2,"main",1,1,,,,,,,,,,,,
"main_contact-1","Contact","internal:/contact","main_assistance-1",3,"main",1,1,,,,,,,,,,,,
"main_emploi-1","Emploi","internal:/emploi",0,3,"main",1,1,,,,,,,,,,,,
"main_emploi-2","Offres d'emploi","internal:/emploi","main_emploi-1",0,"main",1,1,,,,,,,,,,,,
"main_emploi-3","Annuaire des sociétés","internal:/emploi/societes","main_emploi-1",1,"main",1,1,,,,,,,,,,,,
"main_communaute-1","Communauté","entity:node:page_communaute",0,4,"main",1,1,,,,,,,,,,,,
"main_communaute-2","Présentation","entity:node:page_communaute","main_communaute-1",0,"main",1,1,,,,,,,,,,,,
"main_meetups","Meetups","internal:/communaute/meetups","main_communaute-1",1,"main",1,1,,,,,,,,,,,,
"main_groupes-locaux","Les groupes locaux","internal:/communaute/groupes-locaux","main_communaute-1",2,"main",1,1,,,,,,,,,,,,
"main_planete","Planète Drupal","internal:/communaute/planete","main_communaute-1",3,"main",1,1,,,,,,,,,,,,
"main_membres","Les membres de la communauté","internal:/communaute/membres","main_communaute-1",4,"main",1,1,,,,,,,,,,,,
"main_mediatheque","Médiathèque","internal:/communaute/mediatheque","main_communaute-1",5,"main",1,1,,,,,,,,,,,,
"main_association-1","L'association","entity:node:page_association",0,5,"main",1,1,,,,,,,,,,,,
"main_association-2","Présentation","entity:node:page_association","main_association-1",0,"main",1,1,,,,,,,,,,,,
"main_adherer","Adhérer","entity:node:page_adherer","main_association-1",1,"main",1,1,,,,,,,,,,,,
"main_contribuer","Contribuer","entity:node:page_contribuer","main_association-1",2,"main",1,1,,,,,,,,,,,,
"main_actualites","Actualités","internal:/association/actualites","main_association-1",3,"main",1,1,,,,,,,,,,,,
"main_association-evenements","Les événements","internal:/association/evenements","main_association-1",4,"main",1,1,,,,,,,,,,,,
"main_contact-2","Contact","internal:/contact","main_association-1",6,"main",1,1,,,,,,,,,,,,
"account_cart","Panier","internal:/cart","drupalfr_user.account.compte",-8,"account",1,1,,,,,,,,,,,,
"follow_us_facebook","Facebook","http://facebook.com",0,0,"follow-us",1,1,"Facebook",,,,,,,,,,,"fa-facebook"
"follow_us_twitter","Twitter","https://twitter.com/drupalfr",0,1,"follow-us",1,1,"Twitter",,,,,,,,,,,"fa-twitter"
"follow_us_linkedin","LinkedIn","http://linkedin.com",0,2,"follow-us",1,1,"LinkedIn",,,,,,,,,,,"fa-linkedin"
"follow_us_viadeo","Viadeo","http://viadeo.com",0,3,"follow-us",1,1,"Viadeo",,,,,,,,,,,"fa-viadeo"
"follow_us_youtube","Youtube","https://www.youtube.com/channel/UCIa6rzX4xvIu6eas8MZMCAw",0,4,"follow-us",1,1,"Youtube",,,,,,,,,,,"fa-youtube"
"follow_us_instagram","Instagram","https://www.instagram.com/drupalfrance",0,5,"follow-us",1,1,"Instagram",,,,,,,,,,,"fa-instagram"
